TourCat,auto_suff,ModeABM,totTours
Work Tours,Autos >= Workers,Bike,8834
Work Tours,Autos >= Workers,Drive Alone,1170293
Work Tours,Autos >= Workers,KNR AllTrn,1892
Work Tours,Autos >= Workers,KNR PremOnly,3036
Work Tours,Autos >= Workers,PNR AllTrn,744
Work Tours,Autos >= Workers,PNR PremOnly,12284
Work Tours,Autos >= Workers,Shared 2,256490
Work Tours,Autos >= Workers,Shared 3+,119220
Work Tours,Autos >= Workers,Walk,6323
Work Tours,Autos >= Workers,Wlk AllTrn,9423
Work Tours,Autos >= Workers,Wlk PremOnly,3254
