zone,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92
     28.00,         0,         0,      1.00,         0,         0,         0,    164.00,    165.00,         0,    165.00,    471.00,    163.00,         0,    571.00,      1.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.00,         0,         0,      5.00,         0,      9.00,    150.00,         0,         0,         0,         0,         0
     29.00,         0,         0,         0,         0,         0,         0,      3.00,      3.00,         0,      3.00,     45.00,     21.00,         0,    121.00,         0,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      2.00,         0,      1.00,         0,         0,         0,         0,         0,         0
     30.00,      5.00,      7.00,      3.00,      5.00,     15.00,      5.00,     42.00,     82.00,         0,     82.00,   1518.00,    507.00,         0,   1972.00,     25.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,      3.00,         0,         0,      5.00,      7.00,      5.00,     15.00,      3.00,         0,         0,      5.00,     15.00,         0,      9.00,         0,      5.00,         0,         0,     10.00,         0
     31.00,      6.00,         0,         0,         0,         0,      2.00,     36.00,     44.00,         0,     44.00,    544.00,    181.00,         0,    719.00,      8.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      6.00,         0,         0,         0,         0,         0,         0,      2.00,     29.00,         0,      4.00,      1.00,         0,         0,         0,      2.00,         0
     32.00,     78.00,         0,      1.00,      8.00,         0,     20.00,     28.00,    135.00,         0,    135.00,   1256.00,    450.00,         0,   1408.00,    107.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,     78.00,         0,      8.00,         0,         0,      1.00,     18.00,      2.00,     10.00,         0,     15.00,      1.00,         0,         0,         0,      2.00,         0
     33.00,     17.00,         0,         0,         0,         0,         0,     42.00,     59.00,         0,     59.00,    357.00,    139.00,         0,    973.00,     17.00,      1.00,         0,         0,         0,         0,      7.00,      1.00,         0,         0,         0,         0,     17.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.00,         0,         0,     39.00,         0,         0,         0
     34.00,         0,         0,         0,         0,     19.00,      6.00,      8.00,     33.00,     13.00,     46.00,    671.00,    238.00,         0,    754.00,     19.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      6.00,      4.00,         0,      4.00,         0,         0,         0,     19.00,         0,     13.00
     35.00,      5.00,         0,      8.00,         0,         0,         0,     64.00,     77.00,         0,     77.00,    759.00,    261.00,         0,    691.00,     13.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,     35.00,         0,         0,      5.00,         0,         0,         0,         0,      8.00,         0,         0,      1.00,         0,      7.00,         0,         0,     21.00,         0,         0,         0
     36.00,      8.00,         0,         0,      1.00,      3.00,         0,      7.00,     19.00,         0,     19.00,    871.00,    291.00,         0,    834.00,      9.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      8.00,         0,      1.00,      3.00,         0,         0,         0,         0,      5.00,         0,      1.00,         0,         0,         0,         0,      1.00,         0
     37.00,         0,         0,         0,         0,         0,         0,     11.00,     11.00,         0,     11.00,     78.00,     25.00,         0,    209.00,         0,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      8.00,         0,      2.00,         0,         0,         0,         0,      1.00,         0
     38.00,      5.00,         0,         0,     19.00,     38.00,      2.00,     28.00,     92.00,         0,     92.00,   1456.00,    449.00,         0,    407.00,     26.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      5.00,         0,     19.00,      1.00,         0,         0,         0,      2.00,     14.00,         0,     11.00,         0,         0,         0,     37.00,      3.00,         0
