tour_mode,OrigDistName,OrigDist,DestDistName,DestDist,totTrip,HomeDist,HomeDistName,income2,ProdDistName,AttrDistName
9,Chamblee,11,SW & Cent Cobb,13,34,NA,NA,NA,NA,NA
9,Chamblee,11,SW Gwinnett,15,168,NA,NA,NA,NA,NA
9,Chamblee,11,SW Suburbs,19,6,NA,NA,NA,NA,NA
9,Chamblee,11,W Atlanta,4,742,NA,NA,NA,NA,NA
9,Clayton,18,Atl DeKalb,7,305,NA,NA,NA,NA,NA
9,Clayton,18,Atlanta,1,566,NA,NA,NA,NA,NA
9,Clayton,18,Atlanta CBD,0,778,NA,NA,NA,NA,NA
9,Clayton,18,Buckhead & SS,2,458,NA,NA,NA,NA,NA
9,Clayton,18,Cent Gwinnett,16,4,NA,NA,NA,NA,NA
9,Clayton,18,Chamblee,11,315,NA,NA,NA,NA,NA
9,Clayton,18,Clayton,18,1511,NA,NA,NA,NA,NA
9,Clayton,18,N Fulton,6,54,NA,NA,NA,NA,NA
9,Clayton,18,N Suburbs,21,4,NA,NA,NA,NA,NA
9,Clayton,18,NE DeKalb,10,196,NA,NA,NA,NA,NA
9,Clayton,18,NW Cen DeKalb,8,250,NA,NA,NA,NA,NA
9,Clayton,18,NW Cobb,14,8,NA,NA,NA,NA,NA
9,Clayton,18,S Cobb,12,143,NA,NA,NA,NA,NA
9,Clayton,18,S DeKalb,9,150,NA,NA,NA,NA,NA
9,Clayton,18,S Fulton,5,205,NA,NA,NA,NA,NA
9,Clayton,18,SE Atlanta,3,1006,NA,NA,NA,NA,NA
9,Clayton,18,SE Suburbs,20,6,NA,NA,NA,NA,NA
9,Clayton,18,SW & Cent Cobb,13,39,NA,NA,NA,NA,NA
9,Clayton,18,SW Gwinnett,15,38,NA,NA,NA,NA,NA
9,Clayton,18,SW Suburbs,19,2,NA,NA,NA,NA,NA
9,Clayton,18,W Atlanta,4,669,NA,NA,NA,NA,NA
