"TourType","Purpose","nstops","num"
"Joint","Shopping","2 out 2 in",1240
"Joint","Shopping","2 out 3 in",802
"Joint","Shopping","3 out 0 in",2368
"Joint","Shopping","3 out 1 in",2263
"Joint","Shopping","3 out 2 in",636
"Joint","Shopping","3 out 3 in",685
"Joint","Social/Visit","0 out 0 in",18845
"Joint","Social/Visit","0 out 1 in",1656
"Joint","Social/Visit","0 out 2 in",523
"Joint","Social/Visit","0 out 3 in",235
"Joint","Social/Visit","1 out 0 in",1963
"Joint","Social/Visit","1 out 1 in",386
"Joint","Social/Visit","1 out 2 in",181
"Joint","Social/Visit","1 out 3 in",13
"Joint","Social/Visit","2 out 0 in",663
"Joint","Social/Visit","2 out 1 in",246
"Joint","Social/Visit","2 out 2 in",137
"Joint","Social/Visit","2 out 3 in",92
"Joint","Social/Visit","3 out 0 in",355
"Joint","Social/Visit","3 out 1 in",85
"Joint","Social/Visit","3 out 2 in",55
"Joint","Social/Visit","3 out 3 in",8
"At-Work","EatOut","0 out 0 in",350527
"At-Work","EatOut","0 out 1 in",30934
"At-Work","EatOut","0 out 2 in",6840
"At-Work","EatOut","0 out 3 in",3332
"At-Work","EatOut","1 out 0 in",18813
"At-Work","EatOut","1 out 1 in",10121
"At-Work","EatOut","1 out 2 in",1133
"At-Work","EatOut","1 out 3 in",2509
"At-Work","EatOut","2 out 0 in",5930
"At-Work","EatOut","2 out 1 in",936
"At-Work","EatOut","2 out 2 in",91
"At-Work","EatOut","2 out 3 in",849
"At-Work","EatOut","3 out 0 in",1348
"At-Work","EatOut","3 out 1 in",1009
"At-Work","EatOut","3 out 2 in",226
"At-Work","EatOut","3 out 3 in",216
"At-Work","Maintenance","0 out 0 in",97283
"At-Work","Maintenance","0 out 1 in",8787
"At-Work","Maintenance","0 out 2 in",1828
"At-Work","Maintenance","0 out 3 in",946
"At-Work","Maintenance","1 out 0 in",5526
"At-Work","Maintenance","1 out 1 in",2956
"At-Work","Maintenance","1 out 2 in",314
"At-Work","Maintenance","1 out 3 in",648
"At-Work","Maintenance","2 out 0 in",1604
"At-Work","Maintenance","2 out 1 in",252
"At-Work","Maintenance","2 out 2 in",20
"At-Work","Maintenance","2 out 3 in",225
"At-Work","Maintenance","3 out 0 in",375
"At-Work","Maintenance","3 out 1 in",252
"At-Work","Maintenance","3 out 2 in",42
"At-Work","Maintenance","3 out 3 in",61
"At-Work","WorkRelated","0 out 0 in",133086
"At-Work","WorkRelated","0 out 1 in",23460
"At-Work","WorkRelated","0 out 2 in",2563
"At-Work","WorkRelated","0 out 3 in",1346
"At-Work","WorkRelated","1 out 0 in",14095
"At-Work","WorkRelated","1 out 1 in",7679
"At-Work","WorkRelated","1 out 2 in",429
"At-Work","WorkRelated","1 out 3 in",909
"At-Work","WorkRelated","2 out 0 in",2280
"At-Work","WorkRelated","2 out 1 in",353
"At-Work","WorkRelated","2 out 2 in",42
"At-Work","WorkRelated","2 out 3 in",314
"At-Work","WorkRelated","3 out 0 in",513
"At-Work","WorkRelated","3 out 1 in",356
"At-Work","WorkRelated","3 out 2 in",82
"At-Work","WorkRelated","3 out 3 in",70
