TAZ,UNIV,ACRES
1304,0,326
1305,0,322
1306,0,298
1307,0,415
1308,0,466
1309,0,65
1310,0,613
1311,0,414
1312,0,31
1313,0,398
1314,0,124
1315,141,146
1316,136,601
1317,151,296
1318,0,116
1319,0,63
1320,0,248
1321,0,97
1322,0,64
1323,0,112
1324,0,102
1325,0,122
1326,0,326
1327,0,158
1328,0,303
1329,0,264
1330,0,465
1331,0,149
1332,0,37
1333,0,49
1334,0,264
1335,0,264
1336,0,36
1337,0,75
1338,0,24
1339,0,51
1340,0,135
1341,0,118
1342,0,105
1343,0,102
1344,0,172
1345,0,182
1346,0,120
1347,0,28
1348,0,55
1349,0,267
1350,0,491
1351,0,218
1352,0,222
1353,0,811
1354,1088,187
1355,2407,200
1356,0,213
1357,0,250
1358,0,35
1359,0,4
1360,0,412
1361,0,651
1362,0,54
1363,0,69
1364,0,213
1365,0,289
1366,0,16
1367,0,75
1368,0,239
1369,0,56
1370,0,147
1371,0,30
1372,0,34
1373,0,142
1374,0,85
1375,0,32
1376,0,216
1377,0,192
1378,0,239
1379,0,272
1380,202,213
1381,0,463
1382,0,154
1383,0,104
1384,0,64
1385,0,387
1386,0,43
1387,0,174
1388,0,755
1389,0,5
1390,0,28
1391,256,173
1392,0,57
1393,0,28
1394,0,103
1395,0,19
1396,0,240
1397,0,143
1398,0,493
1399,0,43
1400,0,81
1401,353,42
1402,0,69
1403,0,223
1404,0,167
1405,0,164
1406,77,284
1407,0,234
1408,0,289
1409,0,79
1410,0,66
1411,0,364
1412,0,285
1413,0,20
1414,0,132
1415,0,225
1416,0,101
1417,0,32
1418,0,273
1419,0,217
1420,0,27
1421,0,223
1422,0,37
1423,0,156
1424,0,306
1425,0,68
1426,0,293
1427,4263,438
1428,0,38
1429,0,432
1430,0,281
1431,0,660
1432,0,37
1433,0,156
1434,0,431
1435,0,8
1436,0,684
1437,0,610
1438,0,268
1439,0,304
1440,0,92
1441,0,219
1442,479,204
1443,0,63
1444,0,217
1445,0,174
1446,0,228
1447,0,260
1448,0,301
1449,0,78
1450,0,452
1451,0,159
1452,0,364
1453,0,64
1454,0,464
1455,0,514
1456,1273,126
1457,0,268
1458,0,368
1459,0,27
1460,0,28
1461,0,105
1462,419,220
1463,0,41
1464,0,448
1465,0,278
1466,0,326
1467,0,264
1468,0,59
1469,0,48
1470,0,65
1471,0,778
1472,0,336
1473,0,327
1474,0,371
1475,0,109
1476,0,492
1477,0,635
1478,0,702
1479,0,125
1480,0,1229
1481,0,850
1482,0,354
1483,0,413
1484,0,2623
1485,0,153
1486,0,618
1487,0,378
1488,0,540
1489,0,944
1490,0,74
1491,0,136
1492,0,135
1493,0,57
1494,0,119
1495,0,365
1496,0,405
1497,0,359
1498,41,331
1499,0,163
1500,0,172
1501,0,567
1502,0,54
1503,0,177
1504,0,458
1505,0,455
1506,0,129
1507,0,304
1508,0,15
1509,0,282
1510,0,113
1511,0,90
1512,0,358
1513,0,312
1514,0,212
1515,0,186
1516,0,178
1517,0,338
1518,0,220
1519,0,281
1520,0,299
1521,0,55
1522,0,65
1523,0,240
1524,12003,146
1525,0,276
1526,0,66
1527,0,21
1528,0,70
1529,0,189
1530,0,143
1531,0,174
1532,0,224
1533,0,44
1534,0,158
1535,0,44
1536,0,281
1537,0,106
1538,0,59
1539,0,29
1540,0,33
1541,0,52
1542,0,40
1543,0,62
1544,0,40
1545,0,13
1546,0,25
1547,0,26
1548,0,787
1549,0,77
1550,0,432
1551,0,269
1552,0,242
1553,0,507
1554,0,377
1555,0,194
1556,0,594
1557,0,860
1558,0,355
1559,0,560
1560,0,299
1561,0,568
1562,0,82
1563,0,479
1564,0,75
1565,0,169
1566,0,268
1567,0,66
1568,0,240
1569,0,57
1570,0,99
1571,0,60
1572,0,118
1573,0,32
1574,0,436
1575,0,264
1576,0,140
1577,0,57
1578,0,17
1579,0,271
1580,0,143
1581,0,94
1582,0,87
1583,14360,180
1584,0,104
1585,0,38
1586,0,142
1587,0,35
1588,0,70
1589,0,111
1590,0,164
1591,0,35
1592,0,129
1593,0,176
1594,0,14
1595,0,327
1596,0,269
1597,0,26
1598,0,63
1599,0,49
1600,0,102
1601,0,9
1602,0,17
1603,0,214
1604,0,26
1605,3530,11
1606,0,37
1607,0,13
1608,0,256
1609,0,25
1610,0,114
1611,0,28
1612,0,47
1613,0,167
1614,0,176
1615,0,39
1616,0,23
1617,0,56
1618,0,132
1619,353,17
1620,0,10
1621,0,11
1622,0,20
1623,0,43
1624,0,47
1625,403,322
1626,0,76
1627,0,109
1628,912,69
1629,0,363
1630,0,114
1631,0,80
1632,0,39
1633,0,41
1634,0,19
1635,0,25
1636,0,43
1637,0,59
1638,0,81
1639,0,48
1640,0,72
1641,0,111
1642,0,22
1643,0,20
1644,0,22
1645,0,90
1646,0,69
