TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
793,121,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,18,0
794,121,171,0,0,0,0,0,0,0,0,0,8,0,1,0,14,0,53,0,0,73,22,0,0,0,0,0,8,141,22
795,121,131,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,117,0,4,0,0,0,0,0,0,4,0,127,0
796,121,227,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,117,0,4,0,96,0,0,0,0,4,0,127,96
797,121,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,18,0
798,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
799,121,57,0,0,0,0,0,0,6,0,6,0,0,0,0,4,38,2,0,0,1,0,0,0,6,0,6,0,45,0
800,121,197,0,0,0,0,25,93,6,0,0,1,0,0,63,8,0,1,0,0,0,0,0,25,0,93,6,1,72,0
801,121,10,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,1,3,0
802,121,69,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,65,0,0,0,0,0,0,65,1,3,0
803,121,191,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,40,0,73,6,57,0,0,0,0,73,1,60,57
804,121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
805,121,7,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,1,5,0
806,121,6,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0
807,121,16,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,1,1,0
808,121,180,0,0,0,0,0,0,0,0,0,1,10,0,0,9,0,160,0,0,0,0,0,0,0,0,0,11,169,0
809,121,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6
810,121,74,0,0,0,1,20,3,1,0,0,1,0,0,0,9,0,0,0,0,15,24,1,20,0,3,1,1,24,24
811,121,11,0,0,0,1,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,5,0,1,0
812,121,100,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,0,0,0,0,40,0,0,0,0,0,0,60,40
813,121,10,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0
814,121,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,7,24,0,0,0,0,0,0,14,24
815,121,164,0,0,0,0,0,0,0,109,0,0,0,0,0,12,0,43,0,0,0,0,0,0,109,0,0,0,55,0
816,121,77,0,0,0,0,35,0,6,3,0,28,0,0,0,5,0,0,0,0,0,0,0,35,3,0,6,28,5,0
817,121,84,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,76,0,0,0,0,0,0,0,0,0,84,0
818,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,121,86,0,0,0,0,0,59,0,0,0,16,0,0,0,8,0,1,0,0,0,2,0,0,0,59,0,16,9,2
820,121,45,0,0,0,0,14,10,0,0,0,16,0,0,0,2,0,1,0,0,0,2,0,14,0,10,0,16,3,2
821,121,427,0,0,0,0,334,0,1,28,0,16,0,0,0,45,0,1,0,0,0,2,0,334,28,0,1,16,46,2
822,121,265,0,0,0,0,42,85,15,0,0,16,0,7,13,22,4,1,6,40,12,2,0,42,0,85,55,16,65,2
823,121,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,2,0,0,0,0,13,0,1,2
824,121,133,0,0,0,0,0,0,0,61,0,0,0,0,0,10,60,0,0,0,0,2,0,0,61,0,0,0,70,2
825,121,107,0,0,0,0,0,10,0,86,0,0,0,0,0,8,0,0,0,0,1,2,0,0,86,10,0,0,9,2
826,121,56,0,0,0,0,0,0,25,0,25,0,0,0,0,4,0,0,0,0,0,2,0,0,25,0,25,0,4,2
827,121,267,0,0,0,0,30,0,1,172,0,0,2,0,12,15,0,0,0,33,0,2,0,30,172,0,34,2,27,2
828,121,56,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,39,2,0,0,0,0,12,0,42,2
829,121,66,0,0,0,0,1,8,0,23,0,0,0,0,0,5,0,0,0,0,0,29,0,1,23,8,0,0,5,29
830,121,73,0,0,0,0,1,8,0,0,0,0,0,3,0,7,54,0,0,0,0,0,0,1,0,8,0,0,64,0
831,121,14,0,0,0,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,8,0,0,0,0
832,121,9,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0
833,121,19,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0
834,121,65,0,0,0,0,0,0,0,0,0,0,2,4,0,11,0,47,0,0,1,0,0,0,0,0,0,2,63,0
835,121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
836,121,476,0,0,0,0,7,0,0,0,0,0,0,0,0,31,0,0,209,65,8,156,0,7,0,0,65,0,248,156
837,121,105,0,0,0,0,22,57,0,0,2,0,0,1,0,7,0,2,0,0,1,13,0,22,2,57,0,0,11,13
838,121,48,0,0,0,0,7,13,0,0,0,0,0,3,0,2,0,23,0,0,0,0,0,7,0,13,0,0,28,0
839,121,50,0,0,0,18,7,4,0,0,1,0,2,0,0,1,0,16,0,0,1,0,18,7,1,4,0,2,18,0
840,121,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
841,121,116,0,0,0,0,7,0,0,0,0,0,0,3,0,7,94,1,0,4,0,0,0,7,0,0,4,0,105,0
842,121,94,0,0,0,1,7,0,41,0,2,0,1,12,0,7,0,0,6,0,17,0,1,7,2,0,41,1,42,0
843,121,63,0,0,0,6,0,0,0,0,0,0,0,1,0,3,11,4,0,19,19,0,6,0,0,0,19,0,38,0
844,121,10,0,0,0,2,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,2,0,0,0,0,4,4,0
845,121,83,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,16,0,11,9,36,0,0,0,0,11,3,33,36
846,121,183,8,0,0,41,0,24,6,0,1,21,0,0,0,15,0,0,0,61,6,0,41,0,1,24,67,21,29,0
847,121,293,0,0,0,6,0,5,0,0,1,0,0,4,0,11,0,208,0,1,0,57,6,0,1,5,1,0,223,57
848,121,116,0,0,0,0,32,11,3,0,0,0,0,0,0,30,19,0,0,0,2,19,0,32,0,11,3,0,51,19
849,121,487,0,0,0,5,2,1,1,0,0,9,0,40,0,21,0,22,2,359,6,19,5,2,0,1,360,9,91,19
850,121,42,0,0,0,1,0,5,0,0,0,0,1,0,0,1,1,2,0,9,3,19,1,0,0,5,9,1,7,19
851,121,52,0,0,0,1,0,0,1,0,0,0,1,27,0,1,0,0,0,0,2,19,1,0,0,0,1,1,30,19
852,121,295,0,0,0,1,0,0,13,0,4,0,1,40,0,14,9,6,0,182,6,19,1,0,4,0,195,1,75,19
853,121,51,0,0,0,1,0,1,0,0,0,0,6,3,0,4,15,2,0,0,0,19,1,0,0,1,0,6,24,19
854,121,37,0,0,0,2,2,2,6,0,11,0,0,5,1,8,0,0,0,0,0,0,2,2,11,2,6,0,14,0
855,121,593,0,0,0,5,0,0,370,0,1,13,2,18,1,39,0,2,46,95,1,0,5,0,1,0,465,15,107,0
856,121,137,0,0,0,2,0,0,70,0,0,13,0,0,1,8,0,0,0,43,0,0,2,0,0,0,113,13,9,0
857,121,205,0,0,0,0,0,0,27,0,0,0,18,6,1,18,46,54,0,23,12,0,0,0,0,0,50,18,137,0
858,121,912,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,5,1,0,0,827,0,0,0,0,0,0,85,827
859,121,20,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,9,0,0,0,0,10,0,9,0,1,0
860,121,82,0,0,0,0,0,0,30,0,0,0,0,0,0,3,0,16,0,9,0,24,0,0,0,0,39,0,19,24
861,121,376,0,0,0,0,0,0,0,3,13,0,0,0,0,44,0,0,0,9,51,256,0,0,16,0,9,0,95,256
862,121,211,0,0,0,25,0,51,0,9,0,0,0,0,0,12,0,0,0,0,0,114,25,0,9,51,0,0,12,114
863,121,27,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,3,23,0,0,0
864,121,165,0,0,0,0,0,0,0,0,0,1,0,0,0,10,93,37,0,0,24,0,0,0,0,0,0,1,164,0
865,121,103,0,0,0,0,0,0,0,65,0,28,0,0,0,10,0,0,0,0,0,0,0,0,65,0,0,28,10,0
866,121,63,0,0,0,0,5,0,1,0,0,7,0,2,0,33,0,6,0,0,9,0,0,5,0,0,1,7,50,0
867,121,319,0,0,0,0,184,0,1,42,0,0,0,0,0,15,3,6,0,1,34,33,0,184,42,0,2,0,58,33
868,121,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,6,0
869,121,127,0,0,0,0,0,0,0,0,1,12,0,0,0,11,14,6,0,0,9,74,0,0,1,0,0,12,40,74
870,121,210,0,0,0,0,0,0,1,0,0,0,0,1,0,16,24,31,0,0,0,137,0,0,0,0,1,0,72,137
871,121,52,0,0,0,0,0,0,6,0,0,0,0,0,0,1,24,0,0,20,1,0,0,0,0,0,26,0,26,0
872,121,65,0,0,0,26,0,0,0,0,0,0,2,0,0,2,24,0,0,1,0,10,26,0,0,0,1,2,26,10
873,121,109,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,22,0,0,76,0,0,0,0,0,0,3,106,0
874,121,201,0,0,0,0,0,0,13,0,0,0,0,8,0,14,116,4,0,45,1,0,0,0,0,0,58,0,143,0
875,121,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
876,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,121,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,0,0,2,40
878,121,29,0,0,0,0,0,0,1,0,0,8,1,0,0,2,0,12,0,0,5,0,0,0,0,0,1,9,19,0
879,121,24,0,0,0,0,0,0,0,0,0,0,1,0,0,3,20,0,0,0,0,0,0,0,0,0,0,1,23,0
880,121,21,0,0,0,0,0,0,0,0,0,0,1,0,0,3,17,0,0,0,0,0,0,0,0,0,0,1,20,0
881,121,41,0,0,0,0,14,0,1,0,0,0,1,0,0,2,0,0,0,0,1,22,0,14,0,0,1,1,3,22
882,121,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2
883,121,997,0,0,0,0,340,0,0,536,1,0,1,0,0,119,0,0,0,0,0,0,0,340,537,0,0,1,119,0
884,121,83,0,0,0,0,63,0,0,6,0,0,1,0,0,10,0,0,0,0,3,0,0,63,6,0,0,1,13,0
885,121,103,0,0,0,0,0,0,0,36,0,0,1,0,0,14,32,0,0,0,20,0,0,0,36,0,0,1,66,0
886,121,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,5
887,121,33,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,14,13,0,0,4,0,0,0,16,13
888,121,53,0,0,0,0,0,1,1,0,4,0,0,0,0,4,32,11,0,0,0,0,0,0,4,1,1,0,47,0
889,121,41,0,0,0,0,0,0,0,0,4,0,1,0,0,4,32,0,0,0,0,0,0,0,4,0,0,1,36,0
890,121,20,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,15,0,0,4,0,0,0,1,15
891,121,389,0,0,0,0,0,0,0,334,4,0,24,0,0,22,0,0,0,0,5,0,0,0,338,0,0,24,27,0
892,121,204,0,0,0,0,0,0,0,202,0,0,0,0,0,2,0,0,0,0,0,0,0,0,202,0,0,0,2,0
893,121,148,0,0,0,0,0,0,0,0,0,0,0,0,0,15,133,0,0,0,0,0,0,0,0,0,0,0,148,0
894,121,66,0,0,0,0,0,0,0,0,0,0,47,0,0,9,0,10,0,0,0,0,0,0,0,0,0,47,19,0
895,121,11,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,0
896,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897,121,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
898,121,657,0,0,0,0,0,0,444,113,0,0,0,0,0,43,0,0,0,57,0,0,0,0,113,0,501,0,43,0
899,121,475,0,0,0,0,100,0,62,130,0,0,0,0,0,32,0,0,0,4,137,10,0,100,130,0,66,0,169,10
900,121,1421,0,0,0,0,0,0,0,152,0,514,0,661,0,65,0,0,0,0,29,0,0,0,152,0,0,514,755,0
901,121,55,0,0,0,0,0,0,0,7,0,45,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,45,3,0
902,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,121,419,0,0,0,30,71,209,1,25,0,14,0,41,0,28,0,0,0,0,0,0,30,71,25,209,1,14,69,0
904,121,1035,0,0,0,0,169,232,12,12,0,0,2,7,0,111,142,0,0,11,0,337,0,169,12,232,23,2,260,337
905,121,275,0,0,0,31,0,54,81,33,0,0,0,0,0,19,0,40,0,0,0,17,31,0,33,54,81,0,59,17
906,121,12,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,9,0,1,2
907,121,77,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,69,0,0,0,0,0,5,3,69
908,121,32,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,14,0,0,5,0,0,0,0,12,0,15,5
909,121,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,10
910,121,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,14,0
911,121,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,15,0
912,121,68,0,0,0,5,0,0,15,14,0,0,8,0,0,7,0,4,0,0,0,15,5,0,14,0,15,8,11,15
913,121,1204,0,0,0,6,83,87,5,946,0,0,0,0,0,75,0,2,0,0,0,0,6,83,946,87,5,0,77,0
914,121,497,0,0,0,0,266,113,25,17,10,0,1,0,0,32,0,0,0,33,0,0,0,266,27,113,58,1,32,0
915,121,81,0,0,0,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,0,0,0,0,0,0,0,81,0
916,121,303,0,0,0,0,0,0,117,0,0,18,2,1,0,14,0,1,0,106,44,0,0,0,0,0,223,20,60,0
917,121,202,0,0,0,0,0,10,45,0,0,0,8,0,0,11,99,17,0,12,0,0,0,0,0,10,57,8,127,0
918,121,130,0,0,0,0,0,0,38,0,0,0,0,0,0,7,0,0,0,85,0,0,0,0,0,0,123,0,7,0
919,121,374,0,0,0,0,0,0,210,0,0,18,0,13,0,18,0,46,0,69,0,0,0,0,0,0,279,18,77,0
920,121,189,0,0,0,0,0,0,24,0,0,0,0,0,0,10,42,113,0,0,0,0,0,0,0,0,24,0,165,0
921,121,2441,0,0,0,0,0,0,0,0,0,0,1,0,0,135,1887,385,0,31,0,2,0,0,0,0,31,1,2407,2
922,121,152,0,0,0,0,0,0,6,0,0,1,0,0,0,7,0,137,0,1,0,0,0,0,0,0,7,1,144,0
923,121,27,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,26,0
924,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,121,46,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,20,0,0,0,0,0,0,0,46,0
926,121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2
927,121,320,0,0,0,0,0,268,0,0,0,0,0,0,0,26,0,2,0,0,24,0,0,0,0,268,0,0,52,0
928,121,71,0,0,0,0,0,0,6,6,1,0,0,0,0,3,0,0,0,38,17,0,0,0,7,0,44,0,20,0
929,121,80,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,71,0,0,0,7,0,0,0,73,0
930,121,666,0,0,0,0,0,4,197,6,1,8,5,2,0,43,54,12,99,164,2,69,0,0,7,4,361,13,212,69
931,121,35,0,0,0,0,0,5,19,6,1,0,0,0,0,2,0,2,0,0,0,0,0,0,7,5,19,0,4,0
932,121,105,0,0,0,0,32,9,0,6,1,0,10,0,0,11,0,29,0,1,6,0,0,32,7,9,1,10,46,0
933,121,874,0,0,0,0,0,0,12,22,0,0,0,0,0,53,783,2,0,0,0,2,0,0,22,0,12,0,838,2
934,121,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1102,0,1,0,0,15,0,0,0,0,0,0,1231,15
935,121,128,0,0,0,0,0,0,0,22,0,0,0,0,0,5,0,101,0,0,0,0,0,0,22,0,0,0,106,0
936,121,125,0,0,0,4,9,14,22,22,0,0,0,0,0,9,0,40,0,0,5,0,4,9,22,14,22,0,54,0
937,121,154,0,0,0,0,0,39,31,1,0,0,7,0,0,15,0,61,0,0,0,0,0,0,1,39,31,7,76,0
938,121,673,0,0,0,0,562,7,0,0,0,0,0,0,0,33,68,0,0,0,3,0,0,562,0,7,0,0,104,0
939,121,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,76,0,0,0,0,0,0,0,0,0,0,78,0
940,121,467,0,0,0,0,271,174,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,271,0,174,0,0,22,0
941,121,62,0,0,0,1,55,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,55,0,3,0,0,3,0
942,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943,121,17,0,0,0,0,0,0,0,6,0,0,10,0,1,0,0,0,0,0,0,0,0,0,6,0,0,10,1,0
944,121,30,0,0,0,0,0,0,15,0,0,0,10,0,1,2,0,0,0,0,0,2,0,0,0,0,15,10,3,2
945,121,35,0,0,0,0,0,5,19,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,5,19,0,5,6
946,121,39,0,0,0,0,14,3,0,0,4,0,0,0,0,12,0,0,0,0,0,6,0,14,4,3,0,0,12,6
947,121,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,0,3,6
948,121,25,0,0,0,0,0,1,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,22,2,0
949,121,274,0,0,0,0,0,0,58,0,0,5,13,4,0,16,0,105,0,37,36,0,0,0,0,0,95,18,161,0
950,121,93,0,0,0,0,0,0,0,54,0,18,0,0,0,5,0,16,0,0,0,0,0,0,54,0,0,18,21,0
951,121,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,55,0
952,121,121,0,0,0,0,0,0,95,0,0,0,0,8,0,8,0,4,3,0,3,0,0,0,0,0,95,0,26,0
953,121,104,0,0,9,0,0,0,1,0,0,18,10,0,0,7,0,16,4,0,37,2,0,0,9,0,1,28,64,2
954,121,321,0,0,0,0,0,0,203,0,0,9,5,0,0,17,0,2,0,68,17,0,0,0,0,0,271,14,36,0
955,121,196,0,0,0,0,0,0,24,0,0,95,0,0,0,11,0,0,0,36,0,30,0,0,0,0,60,95,11,30
956,121,24,0,0,0,0,0,0,10,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,10,0,14,0
957,121,206,0,0,0,0,0,0,10,0,0,0,0,0,0,9,44,99,0,0,29,15,0,0,0,0,10,0,181,15
958,121,826,0,0,0,0,0,1,16,0,0,0,0,0,0,47,749,0,0,13,0,0,0,0,0,1,29,0,796,0
959,121,1547,0,0,0,1,0,1,15,0,0,0,9,0,0,110,1391,0,0,20,0,0,1,0,0,1,35,9,1501,0
960,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
961,121,108,0,0,0,0,0,1,9,0,0,6,0,3,76,9,0,0,0,1,3,0,0,0,0,1,10,6,91,0
962,121,70,0,0,0,0,0,1,0,0,0,0,64,0,0,5,0,0,0,0,0,0,0,0,0,1,0,64,5,0
963,121,47,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,40,0,0,0,1,0,1,40,0,5,0
964,121,81,0,0,0,0,0,0,0,1,0,1,0,0,46,4,0,0,0,0,0,29,0,0,1,0,0,1,50,29
965,121,116,0,0,0,0,0,0,5,0,0,1,44,3,46,7,0,0,0,0,10,0,0,0,0,0,5,45,66,0
966,121,304,0,0,0,0,184,0,0,4,0,1,0,0,46,29,0,0,0,40,0,0,0,184,4,0,40,1,75,0
967,121,55,0,0,0,0,0,0,0,0,0,1,0,0,46,2,0,6,0,0,0,0,0,0,0,0,0,1,54,0
968,121,6,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,2,0
969,121,6,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,2,0
970,121,50,0,0,0,0,0,0,12,0,0,0,0,1,0,29,0,0,0,0,0,8,0,0,0,0,12,0,30,8
971,121,13,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0
972,121,165,0,0,0,0,0,0,12,0,0,0,0,1,0,29,123,0,0,0,0,0,0,0,0,0,12,0,153,0
973,121,754,0,0,0,0,0,0,0,0,0,0,69,0,0,121,410,154,0,0,0,0,0,0,0,0,0,69,685,0
974,121,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,2,0,0,0,0,0,0,0,0,0,1,25,0
975,121,933,0,0,0,0,0,0,0,0,0,0,1,0,0,52,780,2,0,98,0,0,0,0,0,0,98,1,834,0
976,121,110,0,0,0,0,0,0,0,0,100,0,1,0,0,7,0,2,0,0,0,0,0,0,100,0,0,1,9,0
977,121,76,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,66,0,0,0,0,0,0,66,1,9,0
978,121,219,0,0,0,0,0,0,15,1,0,0,1,5,0,12,146,18,0,20,1,0,0,0,1,0,35,1,182,0
979,121,67,0,0,0,0,0,0,0,1,0,0,0,0,0,5,60,0,0,0,1,0,0,0,1,0,0,0,66,0
980,121,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
981,121,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0
982,121,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,44,0
983,121,96,0,0,0,4,0,0,18,0,3,6,1,20,0,5,12,1,0,26,0,0,4,0,3,0,44,7,38,0
984,121,137,0,0,0,0,0,0,0,0,0,0,1,2,9,8,1,10,0,106,0,0,0,0,0,0,106,1,30,0
