TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
985,121,212,0,0,0,164,0,0,0,0,34,0,0,2,0,12,0,0,0,0,0,0,164,0,34,0,0,0,14,0
986,121,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,1,26
987,121,139,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,2,0,0,117,0,0,0,1,0,0,0,138,0
988,121,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0
989,121,66,0,0,0,0,0,0,10,0,1,0,0,0,0,11,42,2,0,0,0,0,0,0,1,0,10,0,55,0
990,121,43,0,0,0,0,0,0,0,0,1,0,0,36,0,4,0,2,0,0,0,0,0,0,1,0,0,0,42,0
991,121,45,0,0,0,12,0,0,19,0,1,0,0,0,0,9,0,2,0,0,0,2,12,0,1,0,19,0,11,2
992,121,62,0,0,0,0,0,0,3,0,2,0,0,2,0,3,0,42,0,9,1,0,0,0,2,0,12,0,48,0
993,121,19,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,2,0,3,1,0,0,0,0,0,15,0,4,0
994,121,267,0,0,0,0,0,0,178,0,0,9,0,0,0,15,0,2,0,62,1,0,0,0,0,0,240,9,18,0
995,121,49,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,43,0,0,0,0,4,0,2,43
996,121,105,0,0,0,0,0,3,3,0,0,0,0,0,0,14,54,16,1,0,14,0,0,0,0,3,3,0,99,0
997,121,76,0,0,0,0,0,3,1,0,0,0,3,0,0,11,8,34,1,1,14,0,0,0,0,3,2,3,68,0
998,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
999,121,29,0,0,0,26,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,26,0,0,0,0,0,3,0
1000,121,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0
1001,121,144,0,0,0,4,0,0,0,0,0,6,0,1,0,8,0,17,0,105,3,0,4,0,0,0,105,6,29,0
1002,121,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,9,3,0,0,0,0,0,0,3,0,32,0
1003,121,129,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,0,0,72,0,0,0,0,0,0,0,129,0
1004,121,256,0,0,0,0,0,0,16,39,0,0,0,7,0,12,0,23,8,0,0,151,0,0,39,0,16,0,50,151
1005,121,19,0,9,0,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,0,0,10,0
