N,NAME,FIPS,EXCNTSTA,LANES,EXTFLAG,INTFLAG,AADT2000,AADT2005,AADT2010,AADT2015,AWDT2000,AWDT2005,AWDT2010,AWDT2015,PCINTWK,PCINTNW,PCNINTW,PCNINTN,CAREE,COMIE,COMEE,MTKIE,MTKEE,HTKIE,HTKEE
6005,I-85,77,153,4,6,1,37604,41020,44280,49000,37718,41144,44414,49150,0.2506,0.2506,0.0000,0.0000,0.2658,0.0608,0.0022,0.0289,0.0051,0.0663,0.0697
6006,US 29,77,183,2,6,0,2838,3250,2110,3380,3026,3466,2250,3600,0.0000,0.0000,0.4222,0.4222,0.0378,0.0378,0.0000,0.0489,0.0000,0.0284,0.0027
6007,Corinth Rd,77,221,2,6,0,1200,1050,1080,1050,1280,1120,1152,1120,0.0000,0.0000,0.3516,0.3516,0.0200,0.1276,0.0000,0.1363,0.0000,0.0139,0.0000
6008,SR 34,77,232,2,6,0,5085,3820,3450,4250,5422,4074,3678,4530,0.0000,0.0000,0.3741,0.3741,0.0362,0.1052,0.0003,0.0783,0.0000,0.0305,0.0014
6009,Milligan Creek,199,189,2,6,0,500,525,550,600,534,640,590,640,0.0000,0.0000,0.4349,0.4349,0.0000,0.1198,0.0000,0.0095,0.0000,0.0009,0.0000
6010,SR 1,45,1,2,6,0,4400,4870,7700,7480,4692,5192,8210,7980,0.0000,0.0000,0.3590,0.3590,0.0347,0.1037,0.0017,0.0661,0.0034,0.0629,0.0095
6011,Stoney Pt,45,285,2,6,0,780,680,720,860,832,726,768,920,0.0000,0.0000,0.3906,0.3893,0.0260,0.1211,0.0065,0.0612,0.0000,0.0052,0.0000
6012,Old Columbus Rd,45,301,2,6,0,500,600,750,670,534,640,800,710,0.0000,0.0000,0.4350,0.4338,0.0000,0.1200,0.0000,0.0100,0.0000,0.0013,0.0000
6013,SR 100,45,172,2,6,0,880,800,2450,1460,940,854,2612,1560,0.0000,0.0000,0.3629,0.3629,0.0375,0.1229,0.0038,0.0559,0.0000,0.0540,0.0000
6014,SR 100/SR 5,45,47,2,6,0,3857,3760,2700,3600,4112,4010,2880,3840,0.0000,0.0000,0.3795,0.3795,0.0330,0.1024,0.0056,0.0580,0.0000,0.0406,0.0014
6015,SR 166,45,234,2,7,0,5243,20140,13840,4410,5590,21470,14754,4700,0.0000,0.0000,0.3928,0.3928,0.0344,0.0915,0.0084,0.0528,0.0000,0.0257,0.0015
6016,SR 100,45,194,2,7,0,2400,2880,2620,3330,2560,3072,2794,3550,0.0000,0.0000,0.3475,0.3472,0.0283,0.1145,0.0125,0.0931,0.0000,0.0551,0.0018
6017,SR 166,143,255,2,7,0,1200,1270,820,880,1280,1354,876,940,0.0000,0.0000,0.3459,0.3447,0.0913,0.1187,0.0091,0.0708,0.0000,0.0194,0.0000
